Item Class,Item Desc,Item Num,Item ID,Description,Is Tagged,Condition,Status,Purchase date,Cost,Checked Out To,Checked Out By,Check Out Date,Outing Name,Notes
PANS,"Frying Pans, various sizes",004,PANS-004,,FALSE,Usable,Available,,,,,,,
PANS,"Frying Pans, various sizes",005,PANS-005,,FALSE,Usable,Available,,,,,,,
PANS,"Frying Pans, various sizes",006,PANS-006,,FALSE,Usable,Available,,,,,,,
PANS,"Frying Pans, various sizes",007,PANS-007,,FALSE,Usable,Available,,,,,,,
PANS,"Frying Pans, various sizes",008,PANS-008,,FALSE,Usable,Available,,,,,,,
PANS,"Frying Pans, various sizes",009,PANS-009,,FALSE,Usable,Available,,,,,,,
PANS,"Frying Pans, various sizes",010,PANS-010,,FALSE,Usable,Available,,,,,,,
PANS,"Frying Pans, various sizes",011,PANS-011,,FALSE,Usable,Available,,,,,,,
PANS,"Frying Pans, various sizes",012,PANS-012,,FALSE,Usable,Available,,,,,,,
PANS,"Frying Pans, various sizes",013,PANS-013,,FALSE,Usable,Available,,,,,,,
PANS,"Frying Pans, various sizes",014,PANS-014,,FALSE,Usable,Available,,,,,,,
WHISK,Whisks,001,WHISK-001,,FALSE,Usable,Available,,,,,,,
WHISK,Whisks,002,WHISK-002,,FALSE,Usable,Available,,,,,,,
WHISK,Whisks,003,WHISK-003,,FALSE,Usable,Available,,,,,,,
WHISK,Whisks,004,WHISK-004,,FALSE,Usable,Available,,,,,,,
WHISK,Whisks,005,WHISK-005,,FALSE,Usable,Available,,,,,,,
WHISK,Whisks,006,WHISK-006,,FALSE,Usable,Available,,,,,,,
WHISK,Whisks,007,WHISK-007,,FALSE,Usable,Available,,,,,,,
WHISK,Whisks,008,WHISK-008,,FALSE,Usable,Available,,,,,,,
WHISK,Whisks,009,WHISK-009,,FALSE,Usable,Available,,,,,,,
WHISK,Whisks,010,WHISK-010,,FALSE,Usable,Available,,,,,,,
WHISK,Whisks,011,WHISK-011,,FALSE,Usable,Available,,,,,,,
WHISK,Whisks,012,WHISK-012,,FALSE,Usable,Available,,,,,,,
WHISK,Whisks,013,WHISK-013,,FALSE,Usable,Available,,,,,,,
WHISK,Whisks,014,WHISK-014,,FALSE,Usable,Available,,,,,,,
SPATL,Rubber Spatula,001,SPATL-001,,FALSE,Usable,Available,,,,,,,
SPNSL,Slotted Spoon,001,SPNSL-001,,FALSE,Usable,Available,,,,,,,
SPOON,Cooking Spoon,001,SPOON-001,,FALSE,Usable,Available,,,,,,,
MEASS,Measure Spoon,001,MEASS-001,,FALSE,Usable,Available,,,,,,,
MEASC,Measuring Cup,001,MEASC-001,,FALSE,Usable,Available,,,,,,,
KTNKN,Kitchen Knife,001,KTNKN-001,,FALSE,Usable,Available,,,,,,,
CTBRD,Cutting Board,001,CTBRD-001,,FALSE,Usable,Available,,,,,,,
TARP,Tarps,001,TARP-001,,FALSE,Usable,Available,,,,,,,
TARP,Tarps,002,TARP-002,,FALSE,Usable,Available,,,,,,,
TARP,Tarps,003,TARP-003,,FALSE,Usable,Available,,,,,,,
BINS,Cleaning Bins,001,BINS-001,3 Cleaning Bins,FALSE,,,,,,,,,
CLEAN,Cleaning Bins,001,CLEAN-001,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
